ITERATION;TIME;MAIN_MEAN_QUEUE;MAIN_MEAN_LOAD;BACKUP_MEAN_QUEUE;BACKUP_MEAN_LOAD;ERRORS_RATIO;AVG_TIME_TO_PASS_MESSAGE
1;29600;0.54507;0.38349;0.59016;0.38659;0.00368;137.93354
1;29700;0.56520;0.40156;0.60156;0.40524;0.00374;128.50628
1;29800;0.53532;0.40806;0.55837;0.44200;0.00366;72.00642
1;29900;0.55246;0.39936;0.54927;0.35861;0.00371;121.55317
1;30000;0.57522;0.40631;0.57447;0.41761;0.00367;72.43211
1;30100;0.58806;0.41313;0.52410;0.37134;0.00369;107.71647
1;30200;0.55833;0.37337;0.61677;0.39138;0.00368;123.48267
1;30300;0.54953;0.37197;0.48891;0.38881;0.00366;152.25530
1;30400;0.55723;0.40040;0.58396;0.40775;0.00368;97.20470
1;30500;0.61281;0.39916;0.58643;0.39809;0.00367;115.37439
1;30600;0.51069;0.36670;0.52852;0.40885;0.00369;124.41091
1;30700;0.51987;0.38017;0.55790;0.38685;0.00371;154.45890
1;30800;0.49615;0.36719;0.50975;0.41910;0.00367;153.28979
1;30900;0.55011;0.40142;0.56287;0.39649;0.00375;120.06214
1;31000;0.54051;0.40346;0.54756;0.42236;0.00371;126.21734
1;31100;0.54767;0.40228;0.45911;0.33890;0.00370;103.51103
1;31200;0.55419;0.39305;0.54933;0.38199;0.00369;77.31720
1;31300;0.57447;0.38605;0.50204;0.35477;0.00374;114.10556
1;31400;0.54440;0.38719;0.51544;0.37348;0.00366;139.65501
1;31500;0.57089;0.41832;0.49215;0.33920;0.00368;125.54070
1;31600;0.57420;0.40404;0.45629;0.35539;0.00373;152.73824
1;31700;0.54622;0.40133;0.55655;0.40366;0.00369;157.15501
1;31800;0.52962;0.40124;0.55687;0.38452;0.00368;90.53487
1;31900;0.52936;0.39125;0.49178;0.35187;0.00370;125.29789
1;32000;0.54961;0.39717;0.56584;0.43648;0.00375;150.10737
1;32100;0.51619;0.39638;0.58327;0.41779;0.00371;117.49081
1;32200;0.58419;0.41277;0.54787;0.39720;0.00366;100.21620
1;32300;0.57970;0.39810;0.54336;0.39229;0.00368;98.47174
1;32400;0.53469;0.38322;0.55158;0.44345;0.00370;114.76218
1;32500;0.57357;0.37881;0.53848;0.40176;0.00363;116.70634
1;32600;0.58721;0.39340;0.55345;0.38979;0.00371;135.76138
1;32700;0.56020;0.40363;0.63197;0.47846;0.00370;120.45695
1;32800;0.54524;0.39573;0.58729;0.41690;0.00372;128.29334
1;32900;0.55103;0.39821;0.50442;0.33347;0.00368;155.56509
1;33000;0.54802;0.40219;0.57202;0.39001;0.00367;109.12235
1;33100;0.57656;0.39400;0.52741;0.36119;0.00369;136.72243
1;33200;0.54832;0.38549;0.57061;0.38577;0.00367;96.52320
1;33300;0.52143;0.38961;0.58258;0.38533;0.00372;152.13336
1;33400;0.53885;0.38960;0.50830;0.41013;0.00374;101.46135
1;33500;0.57396;0.39965;0.54938;0.38340;0.00373;161.83790
1;33600;0.53879;0.40251;0.48744;0.36537;0.00372;110.59557
1;33700;0.51651;0.37953;0.51352;0.33636;0.00371;149.67738
1;33800;0.57783;0.40617;0.59429;0.38465;0.00367;121.81274
1;33900;0.56403;0.41466;0.65136;0.45894;0.00375;87.34379
1;34000;0.56897;0.40326;0.57880;0.42481;0.00371;134.89813
1;34100;0.56553;0.41480;0.54989;0.33702;0.00367;118.04399
1;34200;0.57021;0.40506;0.47616;0.36968;0.00371;98.38370
1;34300;0.51342;0.38136;0.56587;0.41645;0.00367;125.41137
1;34400;0.55995;0.39573;0.50063;0.35487;0.00369;120.61416
1;34500;0.54105;0.39527;0.48285;0.33973;0.00365;97.14946
1;34600;0.54292;0.41038;0.52727;0.38066;0.00370;91.85212
1;34700;0.54993;0.40494;0.58200;0.41500;0.00375;148.44010
1;34800;0.55049;0.39525;0.53596;0.37708;0.00371;158.43277
1;34900;0.54079;0.38401;0.53313;0.37918;0.00367;176.30319
1;35000;0.52855;0.37334;0.51812;0.36354;0.00371;101.73088
1;35100;0.55853;0.39775;0.52551;0.37025;0.00370;129.36535
1;35200;0.55202;0.39721;0.56308;0.41070;0.00369;131.23085
1;35300;0.58357;0.40592;0.48567;0.31785;0.00365;169.18340
1;35400;0.53489;0.40231;0.54066;0.39585;0.00367;118.29526
1;35500;0.57760;0.41246;0.49469;0.35991;0.00372;126.60271
1;35600;0.54954;0.38812;0.57131;0.42115;0.00371;135.94765
1;35700;0.55660;0.40045;0.53779;0.37230;0.00367;145.89855
1;35800;0.55116;0.40009;0.52826;0.39741;0.00366;161.09263
1;35900;0.55907;0.41106;0.56250;0.40699;0.00370;106.49313
1;36000;0.53086;0.39891;0.56063;0.40293;0.00372;132.06193
1;36100;0.53132;0.37441;0.55934;0.40832;0.00374;150.18803
1;36200;0.55774;0.39473;0.52699;0.35622;0.00367;157.07347
1;36300;0.59412;0.42170;0.48534;0.34676;0.00366;132.61413
1;36400;0.55648;0.39641;0.69810;0.50277;0.00365;142.97369
1;36500;0.54145;0.38948;0.61624;0.40273;0.00370;112.18930
1;36600;0.58457;0.40448;0.53191;0.34639;0.00366;136.77312
1;36700;0.53882;0.40625;0.54983;0.35296;0.00371;129.91382
1;36800;0.55760;0.39111;0.60545;0.43062;0.00370;81.36016
1;36900;0.53020;0.38017;0.57243;0.38220;0.00369;203.25312
1;37000;0.53476;0.38844;0.47478;0.33058;0.00370;157.65252
1;37100;0.51795;0.38086;0.50685;0.38542;0.00372;135.50195
1;37200;0.55321;0.40864;0.57967;0.39724;0.00371;84.38343
1;37300;0.56119;0.40332;0.57469;0.44029;0.00375;149.60750
1;37400;0.55014;0.41186;0.56211;0.42121;0.00372;101.00729
1;37500;0.55220;0.40218;0.54402;0.41444;0.00373;185.88923
1;37600;0.54651;0.39483;0.60762;0.40832;0.00370;128.28446
1;37700;0.53899;0.37664;0.53916;0.37507;0.00371;97.83124
1;37800;0.52340;0.38011;0.55278;0.39679;0.00368;181.39054
1;37900;0.57332;0.40005;0.58111;0.35973;0.00369;144.47526
1;38000;0.53707;0.38370;0.56624;0.35986;0.00374;151.09348
1;38100;0.55167;0.40397;0.55128;0.41873;0.00367;144.86032
1;38200;0.56801;0.39810;0.58036;0.40527;0.00366;106.48039
1;38300;0.58067;0.40657;0.52437;0.38428;0.00366;190.41407
1;38400;0.57887;0.39980;0.63931;0.42337;0.00370;153.95406
1;38500;0.55925;0.39442;0.56872;0.42345;0.00369;127.24651
1;38600;0.52911;0.39638;0.54445;0.38390;0.00370;152.62770
1;38700;0.52948;0.37601;0.55355;0.38115;0.00369;153.50970
